route,postcode,ddate
Auckland (AKL),792000,2023-05-02
Auckland (AKL),793,2023-05-09
Auckland (AKL),794,2023-05-16
Auckland (AKL),2675,2023-05-23
Auckland (AKL),2577,2023-05-30
Auckland (AKL),2578,2023-06-06
Auckland (AKL),2579,2023-06-13
Auckland (AKL),2571,2023-06-20
Auckland (AKL),2576,2023-06-27
Auckland (AKL),2580,2023-07-04
Auckland (AKL),2582,2023-07-11
Auckland (AKL),2583,2023-07-18
Auckland (AKL),2584,2023-07-25
Auckland (AKL),2585,2023-08-01
Auckland (AKL),2471,2023-08-08
Auckland (AKL),2676,2023-08-15
Auckland (AKL),2678,2023-08-22
Auckland (AKL),2679,2023-08-29
Auckland (AKL),1971,2023-09-05
Auckland (AKL),2681,2023-09-12
Auckland (AKL),2682,2023-09-19
Auckland (AKL),2683,2023-09-26
Auckland (AKL),2684,2023-10-03
Auckland (AKL),1010,2023-10-10
Auckland (AKL),1011,2023-10-17
Auckland (AKL),1021,2023-10-24
Auckland (AKL),1022,2023-10-31
Auckland (AKL),1023,2023-11-07
Auckland (AKL),1024,2023-11-14
Auckland (AKL),1025,2023-11-21
Auckland (AKL),1026,2023-11-28
Auckland (AKL),1041,2023-12-05
Auckland (AKL),1042,2023-12-12
Auckland (AKL),1050,2023-12-19
Auckland (AKL),1051,
Auckland (AKL),1052,
Auckland (AKL),1060,
Auckland (AKL),1061,
Auckland (AKL),1062,
Auckland (AKL),1071,
Auckland (AKL),1072,
Auckland (AKL),1081,
Auckland (AKL),2010,
Auckland (AKL),2016,
Auckland (AKL),2013,
Auckland (AKL),2014,
Auckland (AKL),2018,
Auckland (AKL),2022,
Auckland (AKL),2023,
Auckland (AKL),2024,
Auckland (AKL),2025,
Auckland (AKL),2102,
Auckland (AKL),2103,
Auckland (AKL),2104,
Auckland (AKL),2105,
Auckland (AKL),2110,
Auckland (AKL),2112,
Auckland (AKL),2113,
Auckland (AKL),600,
Auckland (AKL),991,
Auckland (AKL),874,
Auckland (AKL),875,
Auckland (AKL),781,
Auckland (AKL),782,
Auckland (AKL),871,
Auckland (AKL),873,
Auckland (AKL),891,
Auckland (AKL),892,
Auckland (AKL),772,
Auckland (AKL),994,
Auckland (AKL),992,
Auckland (AKL),993,
Auckland (AKL),881,
Auckland (AKL),882,
Auckland (AKL),883,
Auckland (AKL),981,
Auckland (AKL),982,
Auckland (AKL),983,
Auckland (AKL),984,
Auckland (AKL),985,
Auckland (AKL),986,
Auckland (AKL),972,
Auckland (AKL),973,
Auckland (AKL),974,
Auckland (AKL),977,
Auckland (AKL),602,
Auckland (AKL),604,
Auckland (AKL),610,
Auckland (AKL),612,
Auckland (AKL),614,
Auckland (AKL),618,
Auckland (AKL),620,
Auckland (AKL),622,
Auckland (AKL),624,
Auckland (AKL),626,
Auckland (AKL),627,
Auckland (AKL),629,
Auckland (AKL),630,
Auckland (AKL),1140,
Auckland (AKL),1141,
Auckland (AKL),1142,
Auckland (AKL),1143,
Auckland (AKL),1144,
Auckland (AKL),1145,
Auckland (AKL),1147,
Auckland (AKL),1148,
Auckland (AKL),1149,
Auckland (AKL),1150,
Auckland (AKL),1151,
Auckland (AKL),1245,
Auckland (AKL),1246,
Auckland (AKL),1340,
Auckland (AKL),1342,
Auckland (AKL),1344,
Auckland (AKL),1345,
Auckland (AKL),1346,
Auckland (AKL),1347,
Auckland (AKL),1348,
Auckland (AKL),1349,
Auckland (AKL),1350,
Auckland (AKL),1351,
Auckland (AKL),1352,
Auckland (AKL),1440,
Auckland (AKL),1443,
Auckland (AKL),1445,
Auckland (AKL),1446,
Auckland (AKL),1541,
Auckland (AKL),1542,
Auckland (AKL),1543,
Auckland (AKL),1544,
Auckland (AKL),1545,
